collection_name,asset_url,asset_img_url,event_contract_address,event_quantity,event_total_price
Test Collection 002,https://testnets.opensea.io/assets/mumbai/0xc01d2f3df268659cdaafefebdc8ad11bf93c5c47/78267088746503400175191532961976906234778364178785129895962974142713900767298,,,1,0.15980414404106327
Test Collection 002,https://testnets.opensea.io/assets/mumbai/0xc01d2f3df268659cdaafefebdc8ad11bf93c5c47/5592751048766847476312534342812224722088444693899702015509717775570715389722,https://lh3.googleusercontent.com/H3b9ycMZR5jmn92m8k4rtRHEItH0_5ztbYaT1qw7vaXUzdcmErCvMzVDyTHCNCVDTn_AHdidYYkTaQAjUtZo3TdrF9yOjOdHNeUVsEc,,1,0.1600607661494552
JPEGbot_Test,https://testnets.opensea.io/assets/rinkeby/0x9c0a1b6d07b5c415029439309a6d81454805d7fb/1,,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.033
Character - X3CbN8Rne6,https://testnets.opensea.io/assets/rinkeby/0x601edb43f697166d25c624feec67a9f9fd69ecbc/3,https://lh3.googleusercontent.com/a7hMk5_gL6snaawSz4l_vYRemk4t8b9jh_EbcLdMckW7Dc35y-mGmRoNvuiZahfSTYtiksBr5sm-h5yrV7kapl6qEb7V3EkumQKf,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.01
Fake Mutant Ape Yacht Club,https://testnets.opensea.io/assets/rinkeby/0x3fbe256f336a938291fa090b4dc498e4c0cb7a99/67,https://lh3.googleusercontent.com/4-eC8DmmC4Sd9nf4iMc0mbP_BcktGS25YxCionDi35gEpgfSdxaegp4q0RhnkVI7TFUHtcIbT_l5gfSQ_Zf-onaZi3EWK5Ktaq0F,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,5.0
TH5,https://testnets.opensea.io/assets/rinkeby/0x26cc903e09edb5917af96b6e0cf97c9da27b51f3/2,https://lh3.googleusercontent.com/APlq-4QcU8N7b2udhmZe6QDJWutwa2LeKfd2EOwgJrTKMXECeDcfkdkVMQI0-XerhHqWS-mE_nGvvVUvGkMp5kE8uQ_BvifcyQGSiIU,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.1
JPEGbot_Test,https://testnets.opensea.io/assets/rinkeby/0x9c0a1b6d07b5c415029439309a6d81454805d7fb/234,,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.035
Curious Addys NFTs,https://testnets.opensea.io/assets/rinkeby/0x52ff80b0c767ef546a21c61de38d79024a0406f3/1,https://lh3.googleusercontent.com/sQf1GcBruwgBxszvlQeK1Dto60LVMqdo51_OhHfpzdDRovLNz_QFVklIDVpjX4M0nGGo3BpLhBA3gEm0oijV7-OPkK9CkjUAISji3Q,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.01
TH5,https://testnets.opensea.io/assets/rinkeby/0x26cc903e09edb5917af96b6e0cf97c9da27b51f3/1,https://lh3.googleusercontent.com/YY7-_df2ZVr-BQsvKL0-VMctHFdz6zOAOGwnKcFqZsjuud3cPuNsOpfu9F5lQF-Jjz4t9x5BWjT7wBbCBhMtS2SJ0Q7vSzISh5VH,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.01
Azuki God,https://testnets.opensea.io/assets/rinkeby/0xb74bf94049d2c01f8805b8b15db0909168cabf46/718,https://lh3.googleusercontent.com/LLI7Kr_rl3LhR70OkGlsl03Gb5clQJOrLFQtPgYqaCP4Q7qbWxb-znBxVyw2xi88jDGt5dpFQK7QTL4_pPMdq1-B9OBRPkr3DEWZ,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,1.0
NFTTutorial - E47SoC3dn7,https://testnets.opensea.io/assets/rinkeby/0xfa486a0e0e0970ac23a6eb2ca1ef306ff3ce51b2/4,https://lh3.googleusercontent.com/V3eKZq_dikuRZE_CTaCiF8xfy_tHwUHYcE2gUkuCZe8k7bB6c4c03vR3Ty8X9dC8i9jgugTBOjmpsEAtKyFS7V9xW0Hp7bO0-7_GZQ,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.42
Tennis Champs Genesis Sale Test,https://testnets.opensea.io/assets/rinkeby/0xa1704ba88defa0926cff7a9d447943e115e7b15f/1,https://lh3.googleusercontent.com/aer5UJjv_lu1S4nOYTry9i6dyTwZxlUrxHeHHylMXU4TChr82puA7085VT9sVKar5hDb0gFdGAP8TAz6BtUY-G3qSQVq_jzzoZKqiQ,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.237
Tennis Champs Genesis Sale Test,https://testnets.opensea.io/assets/rinkeby/0xa1704ba88defa0926cff7a9d447943e115e7b15f/0,https://lh3.googleusercontent.com/kCdgK6cqL-9M1cUs1O9RTZBUkJe5kAFjgZV08NLFvuExuRaB9dO8Ls84riHnIz9H9lS6iWE1W1P5TQTnbKrzRGgaES_NU55Tyda4,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.079
Gadjah Society Testnet V2,https://testnets.opensea.io/assets/rinkeby/0xcc730e87273e90fc935ef33d6203b4c1f0d61f96/3,https://lh3.googleusercontent.com/snf9bCp64w-oPEV8KPLYST4pIEiXRtWljy6DirK8izlgL22fHMxBzoCykfxurzQEQpRw92TzW9L6dgM3YqQCJ0oWRkMz8khSX75sFw,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.65
Bored Ape learn,https://testnets.opensea.io/assets/rinkeby/0x88b48f654c30e99bc2e4a1559b4dcf1ad93fa656/107800652977069029286147333276862629621490961101704897297932511141167105,https://lh3.googleusercontent.com/E37-cEFdle_Xg6QcFTZfQf0TNpbFEqxo1VNH5APJ1_sIAN_NFRGM8_70Ouw-pzz1pbJSY52aaBw6gZGpQL2GEXzdprfw1qtngY_r,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.001
roy-testnet Collection,https://testnets.opensea.io/assets/rinkeby/0x88b48f654c30e99bc2e4a1559b4dcf1ad93fa656/1515517887541631900547673643712558333415014488609020388093108469967240560641,https://lh3.googleusercontent.com/pPGRN4dbVIaZpgOgMlYlk1Z98xMMDb-tsmCfAthNSKPdjcmSkjITSlEa_NB-eUuWCk87SvG49t78wjnSnDKRKbzP0D1KnUHHyFxKzQ,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.001
Bored Ape learn,https://testnets.opensea.io/assets/rinkeby/0x88b48f654c30e99bc2e4a1559b4dcf1ad93fa656/107800652977069029286147333276862629621490961101704897297933610652794881,https://lh3.googleusercontent.com/jY3UkYH6v9OvQmTs7Fgv06DXB7IxEE1OO898p9XbB5cUlTAIML2QeUCFMOZajf-kWbtyXMM4rFKYAJoKHfShPSJPl9T7qenORAq9,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.1
Test Collection 002,https://testnets.opensea.io/assets/mumbai/0xc01d2f3df268659cdaafefebdc8ad11bf93c5c47/21576103795804179274313228479446603628697351183902092970277555399359858099534,,,1,0.16154236715175152
Bored Ape learn,https://testnets.opensea.io/assets/rinkeby/0x88b48f654c30e99bc2e4a1559b4dcf1ad93fa656/107800652977069029286147333276862629621490961101704897297933610652794881,https://lh3.googleusercontent.com/jY3UkYH6v9OvQmTs7Fgv06DXB7IxEE1OO898p9XbB5cUlTAIML2QeUCFMOZajf-kWbtyXMM4rFKYAJoKHfShPSJPl9T7qenORAq9,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.001
DanLand,https://testnets.opensea.io/assets/rinkeby/0xb5a8b5a58761dbd41f6575cd05a30e1d5000be18/0,https://lh3.googleusercontent.com/zzuXZUY7JxEk_TPfbEQQ6b2XnVTo187ip7yuS1v3PGHh_4nzUUpSwQDSgpo-81wr6y5t6R-IETRS_zYi4gkH038XtmlvILxbynKLfg,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.01
CAR ALPHA4,https://testnets.opensea.io/assets/rinkeby/0x1690ee39f75216f0137e58f66112391f1ad3dbde/3,https://lh3.googleusercontent.com/uYudkSyVxys9iZC14M0oiKkMCRaOaivmWc5s-n2rg9GoDTO3P4CM8k4ISDHa630DhWCXb8kk7SqvjIqmm9us5DRX6-Hu3OA8XkuMUnY,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,5.0
Seed Card - prettyboyshav,https://testnets.opensea.io/assets/rinkeby/0x45204f7f81561f2a00f0be2e8e4d863323128b21/200,https://lh3.googleusercontent.com/1UcT7QRVyammgUFShVBbcRnyKKPHKHjbSfiIArJpcjP-Dhx5mUAXVds7mhoxGU6kEh0ulmzBx1HdvuCfnRNS8tYF-6DYns2Wq7go,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.15
JoCard NFT V2,https://testnets.opensea.io/assets/rinkeby/0x45f7a4c3b14276caaa8888de7fe38c7ae4f43ce9/4,https://openseauserdata.com/files/05fee7959035dd2217569b29ee1fdd80.svg,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.1
Chosen Ones Legendary Heroes V3,https://testnets.opensea.io/assets/rinkeby/0x4fc16b3d52a4a33127683e49905c16a7ed9ea3c9/3,https://lh3.googleusercontent.com/0qG4L_KVqO0stmTa0VYRRpdZZltXjtrWtgqVzgd0HH-aYGEUOE71tLItEh9BYKnyiVBZQ6GObOKURIpz7jWPa31N15yIHVENb2zEd20,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,1e-05
Homo Moodies,https://testnets.opensea.io/assets/mumbai/0xc49d591d54fc4555f67fe84460d86aff3e21eb47/1,https://lh3.googleusercontent.com/KpZ71daYEwE_W-2M5ZM4VnWxfo3lPGqQuUXGFHufPl5nULExMpwoeCchGPlxwoja_abn5aipkV3vllzXrAScVNjr4EhIofCJoEQd,,1,0.02
nexgein,https://testnets.opensea.io/assets/rinkeby/0x88b48f654c30e99bc2e4a1559b4dcf1ad93fa656/73219683833150781139806225540408206907889920326923582279847170979356192276481,https://lh3.googleusercontent.com/yd3Xj9cDHhTKUaRSV8SIH5k_5o2afRUVi_1Ahlu0uN_Cs5eFYGQDtD2x1Aid2k0PvEdU-CrnknsGQ-3Ca8rOKa1M3sLVSiDc7-o0GQ,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.003
Test Collection 002,https://testnets.opensea.io/assets/mumbai/0xc01d2f3df268659cdaafefebdc8ad11bf93c5c47/20923417220129866612782626945431986105185892238080255058788659022676954728772,,,1,0.15980041722748345
Test Collection 002,https://testnets.opensea.io/assets/mumbai/0xc01d2f3df268659cdaafefebdc8ad11bf93c5c47/44207788961687855990023893505607931715425383468922230659405988188607549617726,https://lh3.googleusercontent.com/AxHLXUlcDAY7KAbsY-JsJDRFtI-WYjGVor8f_QG-AwOEaaNAFFDeVWi3mA7-Q8VAZ5kF9aK9ihyaDr2gHvvkAqYiTnC-OEIxSVF9eQ,,1,0.1599492164840999
MATABANGPUSA_NFT,https://testnets.opensea.io/assets/rinkeby/0xe155c86c22225b43c0443118b2700a8ead423d7e/2,https://lh3.googleusercontent.com/PdNHiPUyb9_f_a0mTN2f_RbkT28DUPJAsZ-ZcgYk4WUVj00i44Mc3Jgmwty0Imq_sJMGDcZS3XMfldprY6m0Dw8uHVXATRX7YZdjHQ,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.003
Untitled Collection #2145930,https://testnets.opensea.io/assets/rinkeby/0x88b48f654c30e99bc2e4a1559b4dcf1ad93fa656/82574115978448896245994400226319046079827326323917729373877977845069523189761,https://lh3.googleusercontent.com/MRexoJKJ_h6E_29LweujgOLRHvFEP3N_ssxjOXy-gtHFnYU-jTedhZIIfl2UBzcOJSpdD16OLIUkSB7bFFLpbsz2EK2VYSoCOxwLPJc,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.001
OpenSeaCreature Item Sale - 9idPkerQqE,https://testnets.opensea.io/assets/rinkeby/0xc416139c69d215000a0a0d9e4d1ede1f916c8769/2,https://lh3.googleusercontent.com/ZYK8wDppFca4UAcnzSk37MXxmKK5zXVbKjUEUgAPIo1CNoYn56R4xvkkvTSzBxvrkeMJmbmxpZghqCXNgXEEgcB6cA,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.001
TEST TOKEN - 3hq12o1wFR,https://testnets.opensea.io/assets/rinkeby/0x64abb7064285f3bc17fe7a9eb17258526ab36ffd/305,https://lh3.googleusercontent.com/IYtt-5T3-ctI76gThv4w3QLpPpBbKkTxoHmWeDaC4SkpmglC2JwEq9Ratapat9aADvBrM5n6KHe27LV3YK3rsG-lsDBCSDOMClNUIGs,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.3
Test Collection 002,https://testnets.opensea.io/assets/mumbai/0xc01d2f3df268659cdaafefebdc8ad11bf93c5c47/29745529437389821363011716458523865255696160213220545840466934379819419813666,,,1,0.1601287423005422
Cool Pets - tL0JxT9krc,https://testnets.opensea.io/assets/rinkeby/0x08805583a4adcba27a6a11d4e3af1512ec1b1316/1710,https://lh3.googleusercontent.com/EyyPG7oO2YfOQ_qrt38CKPFsT-XSAxXlIhzBQfLuKEQ6Wvuw3VafDgcKNKrW83Z6NMijQhsn7kLz9btdimrZ_xYhc_tmf-NfkjEziA,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.01
MultiFaucet NFT - q55YxxItOz,https://testnets.opensea.io/assets/rinkeby/0xf5de760f2e916647fd766b4ad9e85ff943ce3a2b/194035,https://lh3.googleusercontent.com/jDFIJBe7q7oE208GMI0gRWX8sNhw2apWX9vdsG_fBwVxy1A9nuA09azjOpFL1LRUFlN53tmkObnyjNyhcF1yTd02JOJh7hIpfrS_,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.8
Creepy Costumes - te2WNhqF6h,https://testnets.opensea.io/assets/rinkeby/0x278821af0167676c256ab8c1f9cd9ffdbd2e6fa5/1,https://lh3.googleusercontent.com/Qs3NR3Tn8ECxrMuh6kX89fxU_pDHtmLJqxURFgytrdmyJbQmQFTH7A-lTCo1vFX7kvfz5ltRXHZMEor7O-O8rkOmF6wQSaXpvyjv,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.1
Test Collection 002,https://testnets.opensea.io/assets/mumbai/0xc01d2f3df268659cdaafefebdc8ad11bf93c5c47/20215975233241680597526763248831282673450004739742483612532310898347734576956,,,1,0.1593930709880401
Sappy Seals V3,https://testnets.opensea.io/assets/rinkeby/0x6b26bb004c197f4de3cc7ea9de3ce8e2c2f3d72e/13,https://lh3.googleusercontent.com/QQw2STtPFzynvthuNiNLFIlPXVdbSrZprjSImCg6RMsDcpvf_KQenpnd_M1Binrzczkrg_BgwjNQ8Jg3M0dKUN-Qpq9nlwSohq_S,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,1.0
NFT_1 - Vbn7zSwd9N,https://testnets.opensea.io/assets/rinkeby/0xa2c680d6ea654cf4ca14c31549d9e9358559b9a5/188,https://lh3.googleusercontent.com/RZ6KvVSIpgKuaQa8gf1Fo0alJtR_jGBzu9heBnPtxJcxZDYQjCCKY-a9LSHZHOfXZj9ZrvnFHwgmtOY3KtYgmDhVXJ6Uocpfjbrxhg,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.1
Cool Pets - tL0JxT9krc,https://testnets.opensea.io/assets/rinkeby/0x08805583a4adcba27a6a11d4e3af1512ec1b1316/1710,https://lh3.googleusercontent.com/EyyPG7oO2YfOQ_qrt38CKPFsT-XSAxXlIhzBQfLuKEQ6Wvuw3VafDgcKNKrW83Z6NMijQhsn7kLz9btdimrZ_xYhc_tmf-NfkjEziA,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.01
Azuki God,https://testnets.opensea.io/assets/rinkeby/0xb74bf94049d2c01f8805b8b15db0909168cabf46/34,https://lh3.googleusercontent.com/AYb8H2JS-upJQ8W0X-ZI8CKFpIIKwGc0lQfoGsk-SmgQvqRAbnSTWQwyHx0HIGupenLGSRBeV7wYKpb2Tkp-oZygiRxlwrWBOuGX5g,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,1.0
Test Contract with royalty,https://testnets.opensea.io/assets/rinkeby/0xd5063c456c2460a14efa659cf83d98adea86f329/13,https://lh3.googleusercontent.com/Jm6Ffc1qLGo1qF-LXFoFDBzzcr2v6IiRo7p2DTbXEQWNNSQqeS0Nwe1j5K44N3vkCjAc2tkGeZksj-ez1jNcq6ssBSalbLpQufPO,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.02
Curious Addys NFTs,https://testnets.opensea.io/assets/rinkeby/0x52ff80b0c767ef546a21c61de38d79024a0406f3/1,https://lh3.googleusercontent.com/sQf1GcBruwgBxszvlQeK1Dto60LVMqdo51_OhHfpzdDRovLNz_QFVklIDVpjX4M0nGGo3BpLhBA3gEm0oijV7-OPkK9CkjUAISji3Q,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.01
FAKE MEKAVERSE V2,https://testnets.opensea.io/assets/rinkeby/0x4ccb7324b38686b47a6bb6a186b3ae1ca12f65ed/739,https://lh3.googleusercontent.com/3YG_W2Gg3fDsuXksEdQgPvX4oB_PzBV_bTl_pG90t-7jzfN-omGfHdYVC6F-xT3C2nkVg_LSCDrwqd1CGMXdlriEWCmBATff8Y0ZGg,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,0.0001
Azuki God,https://testnets.opensea.io/assets/rinkeby/0xb74bf94049d2c01f8805b8b15db0909168cabf46/696,https://lh3.googleusercontent.com/raYwRoGm2OnyBtsorVHvyUDRCi36bg2-wfud9H84ZC9SbhcuAAkSbWOUWz0jQZHyQnx_PxylliHCkKbw-2zrGPq6nuWOPgpg4vvXWnE,0xdd54d660178b28f6033a953b0e55073cfa7e3744,1,1.0
Test Collection 002,https://testnets.opensea.io/assets/mumbai/0xc01d2f3df268659cdaafefebdc8ad11bf93c5c47/32809390040275454902635668289465797143457520352238384498687189238023685257401,https://lh3.googleusercontent.com/triOc8iBVkadyGqFxFb2ER8j7Ki4a3O97tCncWCSwVlF0m0xStMfIGQpsz4F2se53XHXEStghwvXaWgJJ7df6RshLIGJnEOzHCoDqZE,,1,0.15751958854122128
